57 3 41 9 44
53 5 43 9 37
52 3 43 9 39
67 3 42 8 54
53 3 44 8 40
72 5 62 9 38
54 3 44 9 41
53 4 43 8 36
66 3 44 23 38
54 3 45 9 37
80 3 62 9 67
66 5 43 9 53
54 3 46 9 38
52 3 45 9 37
67 14 48 10 37
109 47 54 37 52
57 4 45 9 43
79 3 45 9 37
65 3 44 10 50
54 3 45 9 37
57 5 46 9 37
66 3 42 9 39
57 3 42 9 43
52 5 42 9 38
62 3 55 9 38
55 3 42 9 41
54 3 40 9 41
49 3 41 8 36
49 3 39 8 36
49 5 40 8 36
77 3 57 27 46
50 3 42 9 37
51 4 41 9 36
50 3 43 9 36
53 3 41 8 41
50 3 42 9 36
52 5 42 9 37
51 3 43 9 37
51 3 43 9 36
104 42 46 34 47
60 3 42 9 47
50 2 43 9 37
50 3 43 9 36
55 4 46 9 36
57 3 49 9 39
60 3 51 9 39
53 3 43 9 40
53 3 44 9 40
52 3 44 9 36
51 3 43 8 37
51 3 44 9 36
61 3 53 8 37
56 3 44 9 42
61 3 45 10 36
62 3 55 9 41
53 4 44 9 40
54 3 45 10 37
53 3 45 9 38
62 3 54 10 38
72 4 62 10 42
60 3 45 10 46
